Name	StrHausNr	PLZ	Ort	Bettenanzahl
Diabetiker-Hospital	Bundesallee 33	10717	Berlin	148
Kreiskrankenhaus Boeblingen	Bunsenstr 120	71032	Böblingen	486
Krankenhaus Hedwigshoehe	Buntzelstrasse 36	12526	Berlin	125
Vereinskrankenhaus	Burckhardstraße 26	34346	Hannoversch Münden	205
Klinikum Remscheid Gmbh	Burger Str 211	42859	Remscheid	726
Fehmarnsches Krankenhaus	Bürgermeister-Lafrenz-Straße 4	23769	Burg	65
Kreiskrankenhaus	Bürgerstraße 27	27321	Thedinghausen	43
Stiftung Paracelsus	Burghaldenweg	75378	Bad Liebenzell	72
Krankenhaus	Burgstall 9	72160	Horb	110
Klinik am Glammsee	Burgstraße 23	19417	Warin	103
St.-Agnes-Hospital	Burloer Weg 125	46397	Bocholt	506
St.-Reginen-Stift	Buten-Porten 10	49584	Fürstenau	36
Herz-Jesu-Krankenhaus	Buttlarstr 74	36039	Fulda	262
Sana-Krankenhaus Bergen	Calandtstrasse 7-8	18528	Bergen	497
Landeswohlfahrtsverband	Cappeler-Str 98	35039	Marburg	88
Landeswohlfahrtsverband	Cappeler Strasse 98	35039	Marburg	475
Staedt  Krankenhaus	Carl-Roth-Strasse 1	97877	Wertheim	220
Ohlsche Privatklinik Gmbh	Carl-von-Ossietzky-Strasse 19	4600	Altenburg	20
Kliniken St. Antonius	Carnaper Straße 48	42283	Wuppertal	735
St Carolus-Krankenhaus	Carolusstrasse 212	2827	Görlitz	239
DRK-Rittberg-Krankenhaus	Carstennstr 58	12205	Berlin	285
Kreiskrankenhaus Gernsbach	Casimir-Katz-Str 22	76593	Gernsbach	90
Martin-Luther-Krankenhaus	Caspar-Theyss-Str 27	14193	Berlin	400
Klinik Veerssen Gmbh	Celler Straße 26	29525	Uelzen	50
Klinikum Ernst von Bergmann	Charlottenstr. 72	14467	Potsdam	1128
Kreiskrankenhaus Wolgast	Chausseestrasse 46	17438	Wolgast	289
Kreiskrankenhaus Chemnitz	Chemnitzer Strasse 24 A	9212	Limbach-Oberfrohna	159
Städtisches Krankenhaus	Chemnitzer Strasse 50	4289	Leipzig	496
Städtisches Krankenhaus	Chemnitzstraße 33	24114	Kiel	769
Psychotherapeutische Klinik	Christian-Belser-Str 79	70597	Stuttgart	102
Kreiskrankenhaus Torgau	Christianistrasse 1	4860	Torgau	288
Fachkrankenhaus Marienstift	Clara-Zetkin-Strasse 72	8340	Schwarzenberg	68
Oskar-Helene-Heim	Clayallee 229	14195	Berlin	267
St.-Anna-Hospital	Clemens-August-Straße 12	49413	Dinklage	75
St.-Clemens-Hospital	Clemensstr. 1	47608	Geldern	330
Kreiskrankenhaus	Coburger Str 207	96106	Ebern	115
Kreiskrankenhaus Leisnig	Colditzer Strasse 48	4703	Leisnig	263
Kreiskrankenhaus St. Marien	Conringstraße 30	38350	Helmstedt	404
Vinzentius-Krankenhaus	Cornichonstr 4-6	76829	Landau	399
Nervenkrankenhaus	Cottenbacherstr.23	95445	Bayreuth	834
Kreiskrankenhaus	Crailsheimer Str 6	91550	Dinkelsbühl	190
Elisabeth-Krankenhaus Gmbh	Cranger Strasse 226	45894	Gelsenkirchen	210
Kreiskrankenhaus Traunstein	Cuno-Niggl-Strasse 3	83278	Traunstein	490
Eduardus Krankenhaus	Custodisstr 3-17	50679	Köln	383
Kreiskrankenhaus	Dachauer Strasse 33	82256	Fürstenfeldbruck	380
Diana-Klinik	Dahlenburger Straße	29549	Bad Bevensen	46
Krankenhaus Maria Hilf	Dahlienweg 3	53474	Bad Neuenahr-Ahrweiler	361
Fachklinik Freudenholm-	Daldorfer Straße 2	24635	Rickling	35
Kreiskrankenhaus Ellwangen	Dalkinger Str          12	73479	Ellwangen	253
St.-Elisabeth-Krankenhaus	Dannenberger Straße 37	29439	Lüchow	35
Kreiskrankenhaus	Dannenfelser Str 36	67292	Kirchheimbolanden	120
St Vincenz-Hospital	Danziger-Str 17	33034	Brakel	170
Kreiskrankenhaus	Danziger-Strasse 25	76887	Bad Bergzabern	175
Christliches Krankenhaus	Danziger Straße	49610	Quakenbrück	450
Landesnervenklinik	Dautenheimer Landstr 66	55232	Alzey	435
Taunusklinik Falkenstein	Debusweg 2	61462	Königstein	153
St Antonius-Hospital	Dechant-Decker-Strasse 8	52249	Eschweiler	477
Kreiskrankenhaus	Dechant-Wiser-Str 18	93128	Regenstauf	55
Paracelsus-	Degerstrasse 8	40235	Düsseldorf	48
Deister-Süntel-Klinik	Deisterallee 36	31848	Bad Münder	90
Kreiskrankenhaus	Delbrueckstraße 2	25541	Brunsbüttel	165
Städtisches Krankenhaus	Delitzscher Straße 141	4129	Leipzig	895
Klinik Haus Vogt Gmbh	Dennenbergstrasse 5	79822	Titisee-Neustadt	40
Chirurgische Privatklinik	Denninger Strasse 44	81679	München	185
Klinikum Leverkusen Ggmbh	Dhuennberg 60	51375	Leverkusen	775
Diakonie-Krankenhaus	Diakoniestr	74523	Schwäbisch Hall	593
Evang Diakonissenanstalt	Diakonissenstr 28	76199	Karlsruhe	430
Alice-Hospital	Dieburger Str 31	64287	Darmstadt	241
Krankenhaus Am Urban	Dieffenbachstr 1	10967	Berlin	1286
August-Bier-Klinik	Diekseepromenade 9-11	23714	Malente	80
Sophien-Klinik Gmbh	Dieterichsstraße 33	30159	Hannover	130
Tagesklinik	Dimbeck 6	45470	Mülheim	0
St.-Josefs-Krankenhaus	Dingelstädter Strasse 1	37356	Küllstedt	60
Kreiskrankenhaus	Dingolshaeuser Str 5	97447	Gerolzhofen	140
Kreiskrankenhaus	Ditfurter Weg 24	6484	Quedlinburg	590
Städtisches Krankenhaus	Dobberkaustraße 5	29378	Wittingen	71
Evang-Meth Diakoniewerk Ev	Dobenaustrasse 130	8523	Plauen	55
Kreiskrankenhaus	Dohuser Weg 10	26409	Wittmund	175
Klinik Dr. H.J. Knees	Doktorstieg 10	22869	Schenefeld	14
Theresienklinik	Domerschulstr.1/3	97070	Würzburg	85
Kreiskrankenhaus	Domherrnstrasse 10	39539	Havelberg	130
Privat- Heil- und Pflege-	Dorfstraße	24860	Ülsby	51
Kreiskrankenhaus	Dorfstrasse 1	39387	Neindorf	298
Krankenhaus Fuer Koerper-	Dorfstrasse 18	17168	Matgendorf	50
Fachklinik Hornheide	Dornbaumstr 300	48143	Münster	194
Knappschaftskrankenhaus	Dorstener Strasse 151	45657	Recklinghausen	492
Kreiskrankenhaus	Dr- Adam-Voll-Strasse 1	93437	Furth	70
Klinik Feldafing	Dr-Appelhans-Weg 6	82340	Feldafing	92
Naemi-Wilke-Stift	Dr-Ayrer-Strasse 1-4	3172	Guben	244
Therapie-Zentrum Burgau	Dr-Friedl-Strasse 1	89331	Burgau	40
Kreiskrankenhaus	Dr-Kiefl-Str 12	94447	Plattling	202
Suedharz-Krankenhaus	Dr-Robert-Koch-Strasse 39	99734	Nordhausen	830
Krankenhaus Ebersteinburg	Dr-Rumpf-Weg 7	76530	Baden-Baden	94
Klinikum Neubrandenburg	Dr-Salv-Allende-Strasse 30	17033	Neubrandenburg	1000
Kreiskrankenhaus	Dr-Sauerbruch-Str 1	93133	Burglengenfeld	189
Frauenklinik Prien Gmbh	Dr-Siebert-Str 5	83209	Prien	27
Krankenhaus Und Kurklinik	Dr-Wilhelm-Knarr-Weg 1-3	83043	Bad Aibling	36
Evang Krankenhaus d	Dr Kaufmann Str 2	67098	Bad Dürkheim	230
Kreiskrankenhaus Buchen	Dr Konrad Adenauer Str 37	74722	Buchen	224
St Josefs-Krankenhaus Ggmbh	Dr Krismann Str 12	33154	Salzkotten	199
Krankenhauszweckverband	Dr Moeller Str 15	58332	Schwelm	433
Ev Krankenhaus Kredenbach	Dr Stelbrinkstrasse 47	57223	Kreuztal	128
Krankenanstalt Kreuth	Dr Wilhelm-May-Str 12	83708	Kreuth	80
Kreiskrankenhaus Dormagen	Dr.-Geldmacher-Straße	41539	Dormagen	364
Kreiskrankenhaus	Dr.-Goldenbogen-Strasse	51545	Waldbröl	461
Krankenhaus-Zweckverband	Dr.-Gutermann-Straße 2	87600	Kaufbeuren	434
Knappschaftskrankenhaus	Dr.-Hans-Böckler-Platz 1	52146	Würselen	402
Kreiskrankenhaus Osterode	Dr.-Hermannes-Weg 1	37412	Herzberg	236
Gesundheitseinrichtungen	Dr.-Kremser-Straße 41	99755	Sülzhayn	66
St.-Vincenz-Hospital GmbH	Dr.-Otto-Seidel-Straße 31-33	46535	Dinslaken	442
Martin-Luther-Krankenhaus	Dr.-Otto-Straße 2	27404	Zeven	150
Marien-Krankenhaus	Dr.-Robert-Koch-Straße 18	51427	Bergisch Gladbach	356
Kath Krankenhaus Hagen	Dreieckstrasse 17	58097	Hagen	490
St Elisabeth-Krankenhaus	Dreisamstr.15-17	79098	Freiburg	43
Kinder- und Nervenklinik	Dresdner Straße 178	9131	Chemnitz	406
DRK-Krh. Mark Brandenburg	Drontheimer Str 39/40	13359	Berlin	359
Frauenklinik Rosenheim	Droste-Huelshoff-Strasse 4	83024	Rosenheim	70
Kreiskrankenhaus	Dudenhoefer Str 9	63500	Seligenstadt	160
Diabetes-Nachtklinik	Dudenstrasse 6	10965	Berlin	0
Kreiskrankenhaus	Duebener Strasse 3 - 9	4509	Delitzsch	185
Clemenshospital Gmbh	Dueesbergweg 124	48153	Münster	500
Krankenhaus Neuwerk	Duenner Str 214-216	41066	Mönchengladbach	373
Hufeland Kliniken	E-Rosenthal-Strasse 30	99423	Weimar	483
Kreiskrankenhaus Wertingen	Ebersberg 36	86637	Wertingen	190
Kreiskrankenhaus  Offenburg	Ebertplatz 12	77654	Offenburg	450
St Marien-Krankenhaus	Edgar-von-Gierke-Str 2	76135	Karlsruhe	100
Kreiskrankenhaus Calw	Eduard-Conz-Str 6	75365	Calw	240
Kreiskrankenhaus	Egerer Strasse 30	95652	Waldsassen	125
Krankenhaus St Josef	Eibinger Strasse 9	65385	Rüdesheim am Rhein	168
Kreiskrankenhaus	Eichelbach 9	98574	Schmalkalden	336
Psychiatrische Tagesklinik	Eichenstrasse 105-109	42659	Solingen	0
Klinik Am Eichert	Eichertstr 3          660	73035	Göppingen	994
Westf Landeskrankenhaus	Eickelbornstr 19	59556	Lippstadt	597
Sophienkrankenhaus	Eisenacher Strasse 7	36452	Kaltennordheim	45
Itertalklinik	Eisenhuette 21-23	52076	Aachen	23
Städtisches Krankenhaus	Eisfelder Strasse 3	98553	Schleusingen	84
Landesfachkrankenhaus Fuer	Eisfelder Strasse 41	98646	Hildburghausen	417
Kreiskrankenhaus	Eislebener Strasse 7 A	6449	Aschersleben	445
Kreiskrankenhaus Querfurt	Eislebener Strasse 9	6268	Querfurt	236
Allgemeines Krankenhaus	Eißendorfer Pferdeweg 52	21075	Hamburg	856
Kreiskrankenhaus Springe	Eldagsnerstraße 34	31832	Springe	150
St Elisabeth-Hospital	Elisabeth-Str 10	59269	Beckum	311
Charlottenklinik F	Elisabethenstr 15	70176	Stuttgart	62
St Elisabethen-Krankenhaus	Elisabethenstrasse 15	88212	Ravensburg	627
Elisabeth-Krankenhaus Gmbh	Elisabethstr 23	94315	Straubing	553
St Elisabeth-Krankenhaus	Elisabethstrasse	66687	Wadern	148
St.-Elisabeth-Krankenhaus	Elisabethstrasse 61	37334	Worbis	130
Ev.-Luth. Diakonissen-	Elise-Averdieck-Straße 17	27356	Rotenburg	860
St.-Josef Hospital	Elmarstr 38	33004	Bad Driburg	308
Evang.-Luth. Wichernstift	Elmeloh 2	27777	Ganderkesee	57
Staedtisches Krankenhaus	Elsa-Brandstroem-Strasse 1	67227	Frankenthal	325
Kreiskrankenhaus Eschwege	Elsa-Brandström-Straße 1	37269	Eschwege	370
Kreiskrankenhaus	Elsterstrasse 37	4910	Elsterwerda	190
Kreiskrankenhaus St Ingbert	Elversbergerstr	66386	St Ingbert	227
Bodenseekreis-Krankenhaus	Emil-Muench-Strasse 16	88069	Tettnang	200
Krankenhs Rheingau-Taunus-	Emser-Str 29	65307	Bad Schwalbach	150
Krankenhaus Heidenau	Ende Dohnaer Strasse	1809	Heidenau	180
Die Brücke	Engelsgrube 47	23552	Lübeck	0
Kreiskrankenhaus Rastatt	Engelstr 39	76437	Rastatt	317
Hessenklinik	Enserstr. 19	34497	Korbach	292
St Josef-Krankenhaus	Entengasse 4-6	56170	Bendorf	180
Klinikum Hof	Eppenreuther Strasse 9	95032	Hof	496
Medizinische Klinik	Erathstrasse 7	65189	Wiesbaden	110
Kreiskrankenhaus Dorfen	Erdinger Str 17	84405	Dorfen	90
Kreiskrankenhaus Gotha	Erfurter Landstrasse 35	99867	Gotha	404
Kreiskrankenhaus Husum	Erichsenweg 16	25813	Husum	297
Stiftsklinik Augustinum	Erkenbrecht Allee 45	91438	Bad Windsheim	194
Privatklinik Dr Wangemann	Erlenbrucker Strasse 14	79856	Hinterzarten	15
Maximilians-Augenklinik Ev	Erlenstegenstrasse 30	90491	Nürnberg	50
Städtisches Krankenhaus	Ernst-Haeckel-Strasse 1	98544	Zella-Mehlis	118
Staedt Krankenhaus	Ernst-Leitz-Weg 4	79295	Sulzburg	45
Ev.Krankenhaus	Ernst-Moritz-Arndt-Str 17	58840	Plettenberg	183
Kreiskrankenhaus	Ernst-Putz-Str 4	97769	Bad Brückenau	76
Kreiskrankenhaus	Ernst-von-Bergmann-Str 22	39638	Gardelegen	310
Meininger Kliniken Ggmbh	Ernststr. 7-9	98617	Meiningen	570
Paulinenkrankenhaus	Eschenallee 28 30	14050	Berlin	160
Kreiskrankenhaus	Eschfeldstraße 17	49356	Diepholz	190
Kreiskrankenhaus Heide	Esmarchstraße 50	25746	Heide	457
St Elisabeth Krankenhs	Essener Str 31	45529	Hattingen	148
Privatklinik Dr. Wix	Euckenallee 23	26603	Aurich	20
Krankenhaus Bethesda	Euelsbruchstrasse	57258	Freudenberg	210
Kreiskrankenhaus Laupheim	Eugen-Bolz-Str 1	88471	Laupheim	161
Kreiskrankenhaus Beeskow	Eugen-Richter-Strasse 1-3	15848	Beeskow	164
Kreiskrankenhaus	Eugenstrasse 3	73230	Kirchheim	301
Kreiskrankenhaus Geislingen	Eybstr 16	73312	Geislingen	312
Krankenanst Krs Miltenberg	Fabrikstrasse 10	63897	Miltenberg	253
Kinderklinik	Faehrstrasse 4	6114	Halle	120
Orthopädische Klinik	Fahltskamp 73	25421	Pinneberg	30
Kreiskrankenhaus Pinneberg	Fahltskamp 74	25421	Pinneberg	333
Evang-U Johanniter-Kranken-	Fahrnerstr 135	47169	Duisburg	883
Krankenhaus Lichtenberg	Fanningerstrasse 32	10365	Berlin	471
Kirchlicher Verein für	Farmsener Landstraße 73-75	22359	Hamburg	56
Staedt Krankenhaus	Farnweg 7	77728	Oppenau	46
Christophsbad Goeppingen	Faurndauer Strasse 16	73035	Göppingen	335
Ruppiner Klinikum	Fehrbelliner Strasse 38	16816	Neuruppin	483
Landesnervenklinik	Fehrbelliner Strasse 38	16816	Neuruppin	390
St Elisabethen-Krankenhaus	Feldbergstr.15	79539	Lörrach	215
Heinrich Lanz Krankenhaus	Feldbergstrasse 68-70	68163	Mannheim	321
Privatklinik	Feldbrunnenstraße 64	20148	Hamburg	22
St Agatha-Krankenhaus	Feldgaertenstrasse 97	50735	Köln	190
Krankenhaus	Feldstetterstr.64	89150	Laichingen	47
Krankenanstalt Mutterhaus	Feldstrasse 16	54290	Trier	595
Frauenklinik Martha-Haus	Felix-Dahn-Str 7 A	97072	Würzburg	30
Kreiskrankenhaus	Felixallee 9	92660	Neustadt	170
Evangelisches Krankenhaus	Ferrenbergstraße 24	51465	Bergisch Gladbach	300
Schwesternkrankenhaus	Ferstlstr 40	84066	Mallersdorf-Pfaffenberg	20
Medizinische Akademie	Fetscherstrasse 74	1307	Dresden	1376
Staedt Krankenhaus	Fette Henn 50	47839	Krefeld	212
Bezirkskrankenhaus	Feuchtwanger Str.38	91522	Ansbach	449
Psychiatr Landeskrankenhaus	Feuersteinstr 55	78462	Konstanz	330
Klinik Fraenkische Schweiz	Feuersteinstrasse 2	91320	Ebermannstadt	104
Privatklinik Dr. Szalay	Finkenhofstr 15	60322	Frankfurt	0
Bundesknappschaft	Fischbacer Str 100	66287	Quierschied	215
Krankenhaus St Elisabeth	Fischergasse 14	88131	Lindau	38
Ernst-Moritz-Arndt-Universit	Fleischmannstrasse	17489	Greifswald	1184
Städtische Kliniken Chemnitz	Flemmingstraße 2-4	9116	Chemnitz	1237
Ev Fliedner Krankenhaus	Fliednerstr 12	66538	Neunkirchen	189
Städtische Krankenanstalten	Flurstr 17	90419	Nürnberg	2492
Bezirksklinik Rehau	Fohrenreuther Strasse 48	95111	Rehau	52
Evangelisches Krankenhaus	Forsterweg 34	37603	Holzminden	240
Kreis-und Stadtkrankenhaus	Forsthausstr 1	35578	Wetzlar	686
Heilanstalt Paulinenhilfe	Forststr 14	70174	Stuttgart	150
Kreiskrankenhaus	Forststrasse 9	35066	Frankenberg	292
Landesversicherungsanstalt	Frahmsallee 1-7	23714	Malente	20
Mathias-Spital	Frankenburgstr 31	48431	Rheine	436
Johanniter Tagesklinik Fuer	Frankfurter Str 229	40595	Düsseldorf	0
Kinderkrankenhaus	Frankfurter Str.167	34117	Kassel	152
Krankenhaus Bad Orb	Frankfurterstrasse 2	63619	Bad Orb	45
Lindenberg-Klinik	Franz-Gleim-Str 15	34212	Melsungen	70
Westf. Landeskrankenhaus	Franz-Hegemann-Str 34	59581	Warstein	110
Westfälische Klinik für	Franz-Hegemann-Strasse 23	59581	Warstein	866
Klinikum Der Universitaet	Franz-Josef-Strauss-Allee11	93053	Regensburg	494
Klinik Vincentinum	Franziskanergasse 12	86152	Augsburg	248
St Franziskus-Hospital	Franziskusstrasse 2-4	59955	Winterberg	118
St.-Franziskus-Hospital	Franziskusstraße 6	49393	Lohne	180
Martin-Luther-Universitaet	Franzosenweg 1A	6112	Halle	1551
Kinderklinik Fuer Lungen-	Freie Feldlage 9	6493	Harzgerode	91
St.-Vinzenz-Krankenhaus	Freiheitstr 31	58762	Altena	179
Stadt Braunschweig	Freisestraße 10	38118	Braunschweig	1599
Kreiskrankenhaus Sulz	Freudenstaedter Str 13	72172	Sulz	45
Bezirkskrankenhaus	Freudental 1	87435	Kempten	76
Landhaus Streithof	Freundhofweg 5	45479	Mülheim	40
Berufsgenossensch Unfall	Friedberger Landstr 430	60316	Frankfurt	348
Kreiskrankenhaus Bahrendorf	Friedensstrasse 18	39171	Bahrendorf	135
Klinik Hohe Mark	Friedlaender Str 2	61440	Oberursel	260
Westf Landeskrankenhaus	Friedr-Wilh-Weber-Str 30	48147	Münster	691
Fachklinik Für Psychiatrie,	Friedrich-Ebert-Straße 100	23774	Heiligenhafen	405
Klinik Dardenne	Friedrich-Ebert-Straße 23-25	53173	Bonn	6
Klinikum Der Universitaets-	Friedrich-Engels-Str 25	67655	Kaiserslautern	1217
Städtisches Krankenhaus	Friedrich-Engels-Strasse 39	15890	Eisenhüttenstadt	488
Klinik Golzheim	Friedrich-Lau-Str 11	40474	Düsseldorf	120
Kreiskrankenhaus	Friedrich-Lichtenauer-Allee 1	21423	Winsen	334
Kreiskrankenhaus	Friedrich-Ludwig-Jahn-Str 2	6749	Bitterfeld	340
Kreiskrankenhaus Zerbst	Friedrich-Naumann-Str 53	39261	Zerbst	209
Stadt Wilhelmshaven	Friedrich-Paffrath-Straße 100	26389	Wilhelmshaven	575
Herz-Jesu-Krankenhaus	Friedrich-Wilhelm-Str.29	54290	Trier	213
St Elisabeth-Krankenhaus	Friedrich Ebert Str 59	56564	Neuwied	528
Friedrich-Husemann-Klinik	Friedrich Husemann Weg 8	79256	Buchenbach	103
Allgemeines Krankenhaus	Friedrichsberger Straße 60	22089	Hamburg	700
Kreiskrankenhaus	Friedrichshafener Str 82	88131	Lindau	174
Kreiskrankenhaus Albstadt 1	Friedrichstr 39	72458	Albstadt	308
Staedt.Krankenhaus	Friedrichstr 48	79677	Schönau	34
Klinikum Minden	Friedrichstrasse 17	32427	Minden	1104
Kreiskrankenhaus Forbach	Friedrichstrasse 17	76596	Forbach	95
Krankenhaus Friedrichstadt	Friedrichstrasse 41	1067	Dresden	1076
Kreiskrankenhaus	Friesener-Str 41	96317	Kronach	536
Friedrich-Ebert-Krankenhaus	Friesenstrasse 11	24534	Neumünster	637
Urolog Klinik	Frischstr 34	86161	Augsburg	58
Paracelsus-Rhoen-Klinik	Fritz-Stamer-Strasse 9	36129	Gersfeld	25
Krankenhaus Prenzlauer Berg	Froebelstrasse 15	10405	Berlin	432
Evang Diakonissenanstalt	Froelichstr 17	86150	Augsburg	187
Diabetes-Klinik - Birkenhof	Frommershaeuser Str 101	34246	Vellmar	30
Kreiskrankenhaus	Fuchshallerweg 80	37520	Osterode	137
Privatklinik Hygiea	Fuggerstr 23	10777	Berlin	110
Kreiskrankenhaus	Fuhrberger Straße 8	30938	Burgwedel	283
Privatklinik	Gabriel-von-Seidl-Str 77	82031	Grünwald	12
Stadtkrankenhaus Worms	Gabriel-von-Seidl-Str 81	67550	Worms	556
Veronika-Klinik	Gaensheidestr 49	70184	Stuttgart	142
Kreiskrankenhaus Rochlitz	Gaertnerstrasse 2	9306	Rochlitz	201
Kreiskrankenhaus	Gaisbacherstrasse 7	77704	Oberkirch	106
Kasse d Univ Kliniken F	Gaisweg 3	72070	Tübingen	1651
St.-Marien-Krankenhaus	Gallwitzallee 123-143	12249	Berlin	414
Kreiskrankenhaus Saulgau	Gänsbühl 1	88348	Saulgau	110
Niedersächsisches Landes-	Gänsewinkel	38154	Königslutter	540
St Antonius-Krankenhaus	Gartenstr 17	46244	Bottrop	153
Kreiskrankenhaus Crailsheim	Gartenstr 21	74564	Crailsheim	227
Kreiskrankenhaus	Gartenstr 40	79312	Emmendingen	302
St Sixtus-Hospital	Gartenstr.25	45721	Haltern	220
St.-Georg-Krankenhaus	Gartenstraße 11	78073	Bad Dürrheim	0
St.-Joseph-Krankenhaus	Gartenstrasse 1-5	10115	Berlin	256
Kreiskrankenhaus Des Land-	Gartenstrasse 2	8606	Oelsnitz	220
Städtisches Krankenhaus	Gartenstraße 22	26757	Borkum	20
Evang Krankenhaus	Gartenstrasse 4-8	40822	Mettmann	222
Klinikum Aue	Gartenstrasse 6	8280	Aue	743
Kreiskrankenhaus Niebüll	Gather Landstraße 75	25899	Niebüll	187
Havelklinik KG	Gatower-Str 191-193	13595	Berlin	96
Anstalts-Krankenhaus d	Gde Bayersried-Ursberg Nr 7	86513	Ursberg	30
Rummelsberger Anstalten	Gehfeldstr 24	82467	Garmisch-Partenkirchen	190
Klinik Fuer Dynamische	Geiselgasteig 203	81545	München	56
Kreiskrankenhaus	Gemuendener Str 15-17	97753	Karlstadt	101
Orthopaedisches Kinder-	Georg-Leissner-Strasse 1-4	8645	Bad Elster	64
Ev-Luth Diakonissenhaus	Georg-Schwarz-Strasse 49	4177	Leipzig	262
Pius-Hospital Oldenburg	Georgstraße 12	26121	Oldenburg	412
Krankenhaus	Gerber Weg 6	87541	Hindelang	60
Krankenhaus Maria-Hilf	Gerbergasse 1	53359	Rheinbach	118
Christophorus-Krankenhaus	Gerichtsstrasse 15	17373	Ueckermünde	189
Charlottenhaus	Gerokstr 31	70188	Stuttgart	40
St Elisabethen-Krankenhaus	Ginnheimer Str 3	60487	Frankfurt	270
Orthopädische Rheuma-Klinik	Ginsterweg 5	21335	Lüneburg	50
Klinikum Goerlitz Gmbh Ig	Girbigsdorfer Strasse 1-3	2828	Görlitz	747
St Martinus-Krankenhaus	Gladbacher Str 26	40219	Düsseldorf	276
Bezirkskrankenhaus	Gleimstrasse 5	38820	Halberstadt	584
Evangelisches Krankenhaus	Glindersweg 80	21029	Hamburg	235
St Rochus-Hospital	Glueckaufstrasse 10	44575	Castrop-Rauxel	280
Kreiskrankenhaus	Gnarrenburger Straße 117	27432	Bremervörde	177
Kreiskrankenhaus Zittau	Goerlitzer Str 10	2763	Zittau	445
Kreiskrankenhaus Teterow	Goetherstrasse 14	17166	Teterow	167
Marienkrankenhaus	Goethestr 19	58239	Schwerte	312
Kreiskrankenhaus Giessen -	Goethestr 4	35423	Lich	236
Parkklinik	Goethestraße 11	24116	Kiel	60
Bergarbeiterkrankenhaus	Goethestrasse 3	8289	Schneeberg	155
Krankenhaus Des Kurhess-	Goethestrasse 85	34119	Kassel	266
St Christophorus-	Goetheweg 34	59368	Werne	285
Allgemeines Krankenhaus	Gojenbergsweg 30	21029	Hamburg	235
Niedersächsisches Landes-	Goslarsche Landstraße 60	31135	Hildesheim	485
Staedt Krankenanstalten	Gotenstr 1	42653	Solingen	848
Staedtische Kliniken	Gothenstr 6-8	60311	Frankfurt	1120
Marien-Hospital	Gottfr-Disse-Strasse 40	53879	Euskirchen	465
St Nikolaus-Hospital	Grabenstr 86-88	47546	Kalkar	102
Krankenhaus Gerresheim	Graeulinger-Str 120	40625	Düsseldorf	455
Kreiskrankenhaus	Graf-Siegfried-Str.115	54439	Saarburg	232
Kreiskrankenhaus	Grafen-von-Rieneck-Str 5	97816	Lohr	200
Städtische Kliniken	Grafenstrasse 9	64283	Darmstadt	1079
Krankenhausverein	Grafenweg 15	26345	Bockhorn	50
Albert-Schweitzer-Kranken-	Grafplatz 5	37170	Uslar	91
Heilig-Geist Krankenhaus	Graseggerstr 105	50737	Köln	348
Klinikum Karlsburg-Greifsw.	Greifswalder Strasse 11 A	17495	Karlsburg	225
Neurologische Spezielklinik	Greitstraße 28	31840	Hessisch Oldendorf	150
Krankenheim Glückstadt	Grillchaussee 77-79	25348	Glückstadt	25
Kinderkrankenhaus St Marien	Grillparzerstr 9	84036	Landshut	150
Evang. Diakonissenanstalt	Gröpelinger Heerstraße 406	28237	Bremen	518
Krankenhaus Der Anhaltisch.	Gropiusallee 3	6846	Dessau	125
Wilhelmsburger Krankenhaus	Groß Sand 3	21107	Hamburg	202
Stadtkrankenhaus	Grosse Allee 50	34454	Arolsen	180
St.-Hedwig-Krankenhaus	Grosse Hamburger Str 5-11	10115	Berlin	530
Kreiskrankenhaus	Große Ortsstraße 85	21762	Otterndorf	145
Klinikum der	Grosse Parower Str 47-53	18435	Stralsund	960
St.-Elisabeth-Stift	Große Straße 54	49401	Damme	251
Bg'Liche Unfallklinik	Grossenbaumer Allee 250	47249	Duisburg	278
Ev Krankenhaus Saarbruecken	Grossherzg-Friedrich-Str 46	66111	Saarbrücken	236
Landratsamt Nuernberg Land	Grossviehbergstrasse 8	91217	Hersbruck	135
Weserbergland-Klinik	Gruene Muehle	37671	Höxter	496
Allgemeines Krankenhaus	Gruenstrasse 35	58095	Hagen	621
Krankenhaus Olbernhau	Gruenthaler Strasse 46	9526	Olbernhau	107
Fachklinik Fuerstenwald	Grundweg 2-4	34379	Calden	60
Ev.Krankenhaus	Grutholzallee 21	44577	Castrop-Rauxel	396
St Josef-Hospital	Gudrunstrasse 56	44791	Bochum	716
Krankenhaus Der	Guenzburger Strasse 41	89264	Weißenhorn	100
Krankenhaus d Ev Gemeinde	Guetersloher Str 64	33378	Rheda-Wiedenbrück	145
Kreiskrankenhaus Lauingen	Gundelfingerstrasse 4	89415	Lauingen	170
Krankenhaus Gunzenbachhof	Gunzenbachstrasse 6	76530	Baden-Baden	180
Leopoldina-Krankenhaus	Gustav-Adolf-Str 8	97422	Schweinfurt	797
Klinik Zissendorf Gmbh	Gut Zissendorf	53773	Hennef	39
Privatklinik	Gutenbergstr 11-15	74074	Heilbronn	27
Privatklinik	Gutenbergstr 51	74074	Heilbronn	31
Krankenhaus Bruchsal	Gutleutstr 9-14	76646	Bruchsal	430
Rehabilitationskrankenhaus	Guttmannstrasse 1	76307	Karlsbad	538
Johanna-Odebrecht-Stiftung	Gützkower Landstrasse 69	17489	Greifswald	101
Filderklinik	Haberschlaiheide	70794	Filderstadt	216
