Name	StrHausNr	PLZ	Ort	Bettenanzahl
Kreiskrankenhaus	Am Krankenhaus 5	24211	Preetz	198
Charlottenhaus	Gerokstr 31	70188	Stuttgart	40
Staedtische Kliniken	Gothenstr 6-8	60311	Frankfurt	1120
Evang Krankenhaus Unna	Holbeinstrasse 10	59423	Unna	431
Städtisches Krankenhaus	Nordring 37-41	59821	Arnsberg	264
Krankenhaus für Innere	Schulstraße 12	98701	Großbreitenbach	65
Kreiskrankenhaus Forbach	Friedrichstrasse 17	76596	Forbach	95
Krankenhaus Der Anhaltisch.	Gropiusallee 3	6846	Dessau	125
Altus-Klinik	Klappgarten 31 Postfach 1240	29633	Munster	35
Huettenhospital	Am Marksbach 28	44269	Dortmund	144
Katholisches Krankenhaus	Huelsmannstrasse 17	45355	Essen	390
Allgemeines Krankenhaus	Gruenstrasse 35	58095	Hagen	621
St Elisabeth-Krankenhaus	Alois-Schneider-Str 37	54568	Gerolstein	152
Bayerisches Rotes Kreuz	Lindwurmstr 12	80337	München	20
Bezirkskrankenhaus	Gleimstrasse 5	38820	Halberstadt	584
Krankenhaus	Gerber Weg 6	87541	Hindelang	60
St Josefs-Krankenhaus Ggmbh	Dr Krismann Str 12	33154	Salzkotten	199
Stiftung Paracelsus	Burghaldenweg	75378	Bad Liebenzell	72
Psychosomatische Klinik	Schuetzenstr 16	86949	Windach	136
Klinikum Ernst von Bergmann	Charlottenstr. 72	14467	Potsdam	1128
Kreiskrankenhaus Koethen	Lohmannstrasse 87-92	6366	Köthen	446
Schmerz-Zentrum Mainz	Auf der Steig 14-16	55131	Mainz	80
Kreiskrankenhaus Prien	Harrasser Str 61-63	83209	Prien	175
St.-Josef Hospital	Elmarstr 38	33004	Bad Driburg	308
Kreiskrankenhaus Springe	Eldagsnerstraße 34	31832	Springe	150
Kreiskrankenhaus	Krankenhausstr 8	94474	Vilshofen	135
Fachkrankenhaus für Lungen-	Karower Strasse 11, Haus 205	13125	Berlin	170
Kreiskrankenhaus Alsfeld	Schwabenröder Straße 81	36304	Alsfeld	202
Krankenhaus Gunzenbachhof	Gunzenbachstrasse 6	76530	Baden-Baden	180
Kreiskrankenhaus Ilshofen	Haller Str 38	74532	Ilshofen	41
Asklepios Fachklinik für	Barbarastrasse 11	99750	Bleicherode	160
Neurologische Klinik Haus	Hubertusstr 6-7	35619	Braunfels	105
Albert-Ludwigs-Universitaet	Hugstetter Str 49	79106	Freiburg	1944
Werner-Wicker-Klinik	Im Kreuzfeld 4	34537	Bad Wildungen	158
Kinderlandklinik Regen	Parkstr 4	94209	Regen	20
Christliches Krankenhaus	Schillerstraße 8	99817	Eisenach	226
Kreiskrankenhaus Schotten	Aussenliegend 13	63679	Schotten	155
Kreiskrankenhaus	Jahnstr 24	73441	Bopfingen	54
Landeswohlfahrtsverband	Cappeler-Str 98	35039	Marburg	88
Alexianer-Krankenhaus	Oberdiessemerstr 136	47805	Krefeld	148
Paracelsus-Krankenhaus	Paracelsusstrasse 3	14712	Rathenow	379
Bundeswehr-Krankenhaus	Lesserstraße 180	22049	Hamburg	44
Krankenhaus d Missions-	Bahnhofstr 3-5	82327	Tutzing	150
Krankenhaus	Gerber Weg 6	87541	Hindelang	60
Krankenanstalten Marienborn	Luxemburger Strasse 1	53909	Zülpich	180
Kreiskrankenhaus Neustadt	Paracelsusstrasse 30	91413	Neustadt	80
Marien-Hospital	Ardeystr.3	58452	Witten	414
Stiftung Orthop Uniklinik	Schlierbacher Landstr 200	69118	Heidelberg	314
Neue Privatklinik	Ringstrasse 68-70	66953	Pirmasens	32
Frauenklinik	Heilwigstraße 103	20249	Hamburg	24
St Josef-Krankenhaus	Heidbergweg 22-24	45239	Essen-Kupferdreh	315
Kreiskrankenhaus	Hoegenauer Weg 5	86529	Schrobenhausen	169
Kreiskrankenhaus	Fuchshallerweg 80	37520	Osterode	137
Städtisches Krankenhaus	Friedrich-Engels-Strasse 39	15890	Eisenhüttenstadt	488
Kreiskrankenhaus	Marktstr 50	94110	Wegscheid	90
Klinikum Bayreuth	Preuschwitzer Strasse 101	95445	Bayreuth	558
St.-Vinzenz-Hospital	Hammer Straße 9	49740	Haselünne	150
Städtisches Krankenhaus Süd	Kronsforder Allee 71-73	23560	Lübeck	388
Privatklinik Dr Wangemann	Erlenbrucker Strasse 14	79856	Hinterzarten	15
Stadtkrankenhaus Worms	Gabriel-von-Seidl-Str 81	67550	Worms	556
Krankenhaus Marienhof	Rudolf-Virchow-Str 7	56073	Koblenz	340
Krankenanstalt Kreuth	Dr Wilhelm-May-Str 12	83708	Kreuth	80
St Elisabethen-Krankenhaus	Feldbergstr.15	79539	Lörrach	215
Klinikum Minden	Friedrichstrasse 17	32427	Minden	1104
Klinik Fuer Kinder- Und	Herkulesstrasse 111	34119	Kassel	24
Hess Bruederhaus Ev	-	34613	Schwalmstadt	90
Fachkrankenhaus Nordfries-	Krankenhausweg 3	25821	Bredstedt	39
Knappschaftskrankenhaus	Dorstener Strasse 151	45657	Recklinghausen	492
Kreiskrankenhaus	Hermann-Löns-Straße	29451	Dannenberg	212
Die Kliniken der Stadt	Heusnerstraße 40	42283	Wuppertal	1937
Kreiskrankenhaus	Am Bahnberg 5	31199	Diekholzen	150
Evangelisches Krankenhaus	Schermbecker Landstr 88	46485	Wesel	342
Franziskus-Hospital	Kleestraße 2	49186	Bad Iburg	29
Krank Haeuser d Maerk Krs	Paulmannshoeher Str 21	58515	Lüdenscheid	1139
Klinik Des Hochtaunuskreis	Hattsteiner Allee 1-5	61250	Usingen	145
Kinderheilstätte	Mauritiusplatz 6	59394	Nordkirchen	45
Privatklinik Dr. Steger	Bingstraße	90480	Nürnberg	35
Krankenhaus St Josef	Eibinger Strasse 9	65385	Rüdesheim am Rhein	168
Fachkrankenhaus	Luckauer Strasse 17	15907	Lübben	254
Klinik Fuer Lungenkrank-	Robert-Koch-Strasse 27	6493	Ballenstedt	147
Klinikum Minden	Friedrichstrasse 17	32427	Minden	1104
Krankenhaus Maria-Hilf	Maria-Hilf-Str.2	54550	Daun	262
Parkklinik	Goethestraße 11	24116	Kiel	60
Kreiskrankenhaus	Gnarrenburger Straße 117	27432	Bremervörde	177
Paulinenkrankenhaus	Paulinenweg 1	48455	Bad Bentheim	50
Kreiskrankenhaus Stollberg	Jahnsdorfer Strasse 2	9366	Stollberg	389
Landeswohlfahrtsverb Hessen	-	34308	Bad Emstal	430
St.-Elisabeth-Stift	Große Straße 54	49401	Damme	251
Fachklinik Freudenholm-	Daldorfer Straße 2	24635	Rickling	35
Staedtisches Krankenhaus	Bachstrasse 57	88214	Ravensburg	100
St.- Marien-Krankenhaus	Bergstrasse 1-3	14776	Brandenburg	105
Diabetes-Klinik - Birkenhof	Frommershaeuser Str 101	34246	Vellmar	30
Wilhelmsburger Krankenhaus	Groß Sand 3	21107	Hamburg	202
Paracelsus Nordseeklinik	Invasorenpfad	27498	Helgoland	42
Krankenhaus Bethanien	Prinz-Eugen-Strasse 13	4277	Leipzig	65
St Marien-Hospital	An'T Lindeken 100	48691	Vreden	132
Kreiskrankenhaus	Am Espach 20	87727	Babenhausen	62
Sana-Krankenhaus Bergen	Calandtstrasse 7-8	18528	Bergen	497
Kreiskrankenhaus	Karl-Krische-Str 11	71522	Backnang	353
Rheumaklinik	Landgrafenstr 15	44652	Herne	150
Klinik Am Hellweg	Am Flugplatz 12	33813	Oerlinghausen	160
Veronika-Klinik	Gaensheidestr 49	70184	Stuttgart	142
Herz-Jesu-Krankenhaus Gmbh	Hauptstrasse 55	51789	Lindlar	173
Krankenhaus	Hochstrasse 20	45731	Waltrop	192
Kurheim Mahlertshof	Mahlertshof	36151	Burghaun	45
Kreiskrankenhaus Mosbach	Knopfweg 1	74821	Mosbach	270
Kreiskrankenhaus Koesching	Krankenhausstrasse 19	85092	Kösching	225
Klinik Veerssen Gmbh	Celler Straße 26	29525	Uelzen	50
Kreiskrankenhaus	Gnarrenburger Straße 117	27432	Bremervörde	177
St.-Vincenz-Krankenhaus	Am Busdorf 2-4	33098	Paderborn	556
Medizinische Akademie	Fetscherstrasse 74	1307	Dresden	1376
Kreiskrankenhaus	Koesinger Str 11	73450	Neresheim	24
Klinik Markgroeningen	Kurt-Lindemann-Weg 10	71706	Markgröningen	174
Suedharz-Krankenhaus	Dr-Robert-Koch-Strasse 39	99734	Nordhausen	830
Städtisches Krankenhaus	Am Friedenshof 5	23966	Wismar	788
Staedtisches Krankenhaus	Ansbacher Str 131	91541	Rothenburg	168
St Franziskus-Hospital	Franziskusstrasse 2-4	59955	Winterberg	118
St Josefs-Krankenhaus	Hauensteiner Str.17	66994	Dahn	102
St Josefs-Krankenhaus	Hauensteiner Str.17	66994	Dahn	102
psych Landeskrankenhaus	Hauptstr 9	88529	Zwiefalten	240
Frauenklinik	Heilwigstraße 103	20249	Hamburg	24
Elisabeth-Krankenhaus	Hubertusstr 100	41239	Mönchengladbach	503
Ev Krankenhaus	Muehlenstr 15	33824	Werther	104
Malteser-Krankenhaus	Pillkaller Allee 1	14055	Berlin	161
Klinikum der med. Universi-	Ratzeburger Allee 160	23564	Lübeck	1183
Tagesklinik Kieler Fenster	Alte Lübecker Chaussee 1	24114	Kiel	0
Krankenhaus	Koenigstr 100	42929	Wermelskirchen	203
Kreiskrankenhaus Falkeneck-	Hecksbergweg 23-27	35619	Braunfels	182
Kreiskrankenhaus Falkeneck-	Hecksbergweg 23-27	35619	Braunfels	182
Priv.Nervenklinik	Bergstr 50	82131	Gauting	70
Lazarettstiftung Beilngries	Hauptstr 24	92339	Beilngries	39
Krankenhaus Donaustauf	Ludwigstrasse 68	93093	Donaustauf	150
Tcm-Klinik Koetzting Gmbh	Ludwigstrasse 2	93444	Kötzting	0
Kreiskrankenhaus Mittweida	Hainichener Strasse 4-6	9648	Mittweida	190
Kreiskrankenhaus	Neustädter Strasse 61	96515	Sonneberg	330
Städtische Kliniken	Grafenstrasse 9	64283	Darmstadt	1079
Kreiskrankenhaus	Krankenhausstr 7	89257	Illertissen	194
Kreiskrankenhaus	Krankenhausstr 7	83607	Holzkirchen	78
Kreiskrankenhaus	Krankenhausstr 16	92237	Sulzbach-Rosenberg	196
Bezirkskrankenhaus Fuer	Hufelandstrasse 15	1477	Arnsdorf	377
Zentrale Klinikverwaltung	Maximilianplatz 2	91052	Erlangen	1584
Robert-Koch-Klinik Leipzig	Nikolai-Rumjanzew-Strasse 100	4207	Leipzig	370
Westf Landeskrankenhaus	Eickelbornstr 19	59556	Lippstadt	597
Stadtkrankenhaus	Pulsnitzer Strasse 60	1454	Radeberg	133
Krankenhaus	Gerber Weg 6	87541	Hindelang	60
Kreiskrankenhaus Templin	Robert-Koch-Strasse 24	17268	Templin	252
Neurologische Spezielklinik	Greitstraße 28	31840	Hessisch Oldendorf	150
Kreiskrankenhaus Boeblingen	Bunsenstr 120	71032	Böblingen	486
Klinik Endorf	Kurzentrum	83093	Bad Endorf	55
Krankenhs Rheingau-Taunus-	Heftricher-Str	65510	Idstein	80
Marienhospital	Hospitalstr 24	45329	Essen	387
Robert-Bosch-Krankenhaus	Auerbachstr 110	70469	Stuttgart	479
Medizinische Hochschule	Konstanty-Gutschow-Straße 8	30625	Hannover	1409
Evang. Diakonissenanstalt	Gröpelinger Heerstraße 406	28237	Bremen	518
Kreiskrankenhaus	Marktstr 50	94110	Wegscheid	90
Landesfachkrankenhaus Fuer	Pfafferode 102	99974	Mühlhausen	1195
Universitätsklinikum	Augustenburger Platz 1	13353	Berlin	1797
Zentrum Fuer Psychiatrie	Im Schlosspark	45699	Herten	192
Diabetiker-Hospital	Bundesallee 33	10717	Berlin	148
Rotkreuzklinik	Kapuzinerstr 2	97070	Würzburg	100
Olympiapark-Klinik Gmbh	Riesstrasse 65	80992	München	44
Ev Krankenhaus Saarbruecken	Grossherzg-Friedrich-Str 46	66111	Saarbrücken	236
St Antonius-Hospital	Dechant-Decker-Strasse 8	52249	Eschweiler	477
Ost-Prignitz-Klinik gGmbH	Perleberger Tor 2	16928	Pritzwalk	240
Kreiskrankenhaus	Bahnhofstrasse 15	17087	Altentreptow	96
Suedharz-Krankenhaus	Dr-Robert-Koch-Strasse 39	99734	Nordhausen	830
Evang. Krankenhaus	Riemsloher Straße 5	49324	Melle	173
Privat- Heil- und Pflege-	Dorfstraße	24860	Ülsby	51
Sonderkrankenhaus Hahnknüll	Hahnknüll 58	24534	Neumünster	34
Sächsisches Krankenhaus	Im Park 15A	4678	Zschadraß	259
St.-Martinus-Hospital	Hospitalweg 6	57462	Olpe	385
Marienkrankenhaus Gem Gmbh	Auguste-Viktoria-Allee 2	33175	Bad Lippspringe	40
Städtisches Krankenhaus	Ernst-Haeckel-Strasse 1	98544	Zella-Mehlis	118
Kreiskrankenhaus	Krankenhausstr 16	92237	Sulzbach-Rosenberg	196
Evangelisches Krankenhaus	Hellweg 100	45276	Essen	333
Fachklinik Für Psychiatrie,	Friedrich-Ebert-Straße 100	23774	Heiligenhafen	405
Landratsamt Freyung-	Postschliessfach 1320	94078	Freyung	160
Kreiskrankenhaus	Dechant-Wiser-Str 18	93128	Regenstauf	55
St.-Josefs-Krankenhaus	Husener Str.46	33098	Paderborn	409
Max Planck Institut	Kraepelinstr 10	80804	München	120
Klinik am Glammsee	Burgstraße 23	19417	Warin	103
Goldenbuehl-Krankenhaus	Berliner Starsse 23	78048	Villingen-Schwenningen	92
Privatklinik Dr.Amelung	Altkoenigstr.16	61462	Königstein	85
Kreiskrankenhaus Des Land-	Gartenstrasse 2	8606	Oelsnitz	220
St.-Vincenz-Krankenhaus	Am Busdorf 2-4	33098	Paderborn	556
Johannes-Anstalten Mosbach	Neckarburkener Str 2-4	74821	Mosbach	88
Universitätsklinikum der	Hufelandstr 55	45147	Essen	1317
Kreiskrankenhaus	Fuhrberger Straße 8	30938	Burgwedel	283
Staedt Krankenhaeuser	James-Loeb-Strasse 2	80804	München	904
Berufsgenossensch Unfall	Friedberger Landstr 430	60316	Frankfurt	348
Fachklinik Für Psychiatrie,	Friedrich-Ebert-Straße 100	23774	Heiligenhafen	405
Staedt.Krankenhaus	Friedrichstr 48	79677	Schönau	34
Suedharz-Krankenhaus	Dr-Robert-Koch-Strasse 39	99734	Nordhausen	830
Kamillus-Klinik	Hospitalstr 6	53567	Asbach	174
Städtische Kliniken Chemnitz	Flemmingstraße 2-4	9116	Chemnitz	1237
St Hildegardis-Krankenhaus	Bachemerstr 29-33	50931	Köln	320
Marien-Krankenhaus	Hannoverstraße 5	48529	Nordhorn	260
St.-Martinus-Stift	Mittelstraße 1-3	49733	Haren	70
Hardtwaldklinik I	Hardtstrasse	34596	Bad Zwesten	47
Krankenhaus Bethesda	Hainstr 35	42109	Wuppertal	404
Krankenhaus Teutschenthal	Kurallee 6-9	6179	Teutschenthal	85
Uni Klinik d Joh Gutenberg	Langenbeckstr 1	55131	Mainz	1758
Landratsamt Nuernberg Land	Krankenhausweg 17	91220	Schnaittach	50
Malteser-Krankenhaus	Albert-Struck-Str 1	59075	Hamm	280
Ev Und Johanniter-Krankenhs	Hachenburger Str 16	56269	Dierdorf	186
Kreiskrankenhaus Niebüll	Gather Landstraße 75	25899	Niebüll	187
Bezirkskrankenhaus	Braeuhausstr 5	84416	Taufkirchen	584
Bezirkskrankenhaus	Feuchtwanger Str.38	91522	Ansbach	449
Kinderhospital Osnabrück	Iburger Straße 87	49074	Osnabrück	129
Stadtkrankenhaus	Perleberger Strasse 31A	16866	Kyritz	195
Krankenhaus Zu Kappeln	Reeperbahn 4	24376	Kappeln	22
Evang Krankenhaus	Hugo-Fuchs-Allee 3	58644	Iserlohn	300
Kreiskrankenhaus	Holzbacher-Str 1	55469	Simmern	303
Niedersächsisches	-	37124	Rosdorf	176
Klinik für Tumorbiologie	Breisacher Straße 117	79106	Freiburg im Breisgau	80
Städtisches Krankenhaus	Delitzscher Straße 141	4129	Leipzig	895
St Marien-Krankenhaus	Edgar-von-Gierke-Str 2	76135	Karlsruhe	100
Kreiskrankenhaus Soltau	Oeninger Weg 30	29614	Soltau	305
Kreiskrankenhaus Kirchberg	Lengenfelder Strasse 44	8107	Kirchberg	170
Landhaus Streithof	Freundhofweg 5	45479	Mülheim	40
Landhaus Streithof	Freundhofweg 5	45479	Mülheim	40
Herz-Jesu-Krankenhaus Gmbh	Hauptstrasse 55	51789	Lindlar	173
St.- Elisabeth-Krankenhaus	Kurler Strasse 130	44319	Dortmund	156
Ev. Krankenhaus	Albert-Rohloff-Straße 2	37581	Bad Gandersheim	171
Krankenanstalt Des	Posilipostrasse 49	71640	Ludwigsburg	1061
Privatklinik	Mürwiker Straße 162	24943	Flensburg	17
Caritas-Krankenhaus	An der Heeresstr	66822	Lebach	241
Johanniter Tagesklinik	Pionierstr 19	50735	Köln	0
Klinik Fuer Kinder-Und	Klosterstr 4	65343	Eltville	80
Kreiskrankenhaus Saulgau	Gänsbühl 1	88348	Saulgau	110
Fachklinik für Psychiatrie	Kirchenstraße 2	25821	Breklum	45
Kreiskrankenhaus	Kratzberg 1	36199	Rotenburg an der Fulda	207
Asklepios Fachklinik für	Barbarastrasse 11	99750	Bleicherode	160
Krankenhaus Maria Stern	Am Anger 1	53424	Remagen	183
Krankenhaus	Gerber Weg 6	87541	Hindelang	60
Krankenhaus Fuer Koerper-	Dorfstrasse 18	17168	Matgendorf	50
Krankenanst Krs Miltenberg	Fabrikstrasse 10	63897	Miltenberg	253
St Elisabeth-Krankenhaus	Bleichstrasse 15	44787	Bochum	347
Bundeswehrkrankenhaus	Hochwiesenhof 5-10	75323	Bad Wildbad	101
Kliniken im Theodor-Wenzel-	Potsdamer Chaussee 70	14129	Berlin	472
Klinik Dr. H.J. Knees	Doktorstieg 10	22869	Schenefeld	14
Bezirkskrankenhaus	Feuchtwanger Str.38	91522	Ansbach	449
Klinik Klosterstraße Gbr.	Klosterstraße 63-65	24534	Neumünster	23
Landratsamt Freyung-	Postschliessfach 1320	94078	Freyung	160
psych Landeskrankenhaus	Hauptstr 9	88529	Zwiefalten	240
Landeswohlfahrtsverb Hessen	-	64560	Riedstadt	421
Rhein Orthop Landesklinik	Horionstr 2	41749	Viersen	170
Kath Krankenhaus	Hoelkeskampring 40	44625	Herne	694
Kreiskrankenhaus Rudolstadt	Jenaische Strasse 14	7407	Rudolstadt	425
Asklepios-Klinik	Am Hochkamp 21	23611	Bad Schwartau	80
Krankenhaus Pfullendorf	Alte Postgasse 1	88630	Pfullendorf	148
Heinrich-Sengelmann-	Kayhuder Straße 65	23863	Bargfeld-Stegen	305
Kreiskrankenhaus Nordenham	Albert-Schweitzer-Straße 43	26954	Nordenham	220
Krankenhaus St.-Marien-Stift	Bahnhofstraße	26169	Friesoythe	140
Klinik Oeschelbronn	Am Eichhof	75223	Niefern-Öschelbronn	70
Marienhospital Hamm	Nassauer Strasse 13-19	59065	Hamm	786
Privatklinik Marne	Hafenstraße 47	25709	Marne	13
Kreiskrankenhaus Hoya	Langestraße 139	27318	Hoya	130
St.-Katharinen-Hospital	Kapellenstraße 1-5	50226	Frechen	455
Spezialklinik Neukirchen	Krankenhausstrasse 9	93453	Neukirchen	190
Staedt.Hardterwald-Klinik	Luise-Gueury-Str 400	41169	Mönchengladbach	164
Schmerz-Zentrum Mainz	Auf der Steig 14-16	55131	Mainz	80
St Johannes-Hospital	Johannesstrasse 9-13	44137	Dortmund	613
Marienhospital	Marienstr.45	48282	Emsdetten	210
Fachklinik St Camillus	Kirchstrasse 12	47178	Duisburg	80
Kreiskrankenhaus Pinneberg	Fahltskamp 74	25421	Pinneberg	333
St Hildegardis-Krankenhaus	Bachemerstr 29-33	50931	Köln	320
Krankenhaus St Josef	Bergstr 6-12	42105	Wuppertal	291
Kreiskrankenhaus	Delbrueckstraße 2	25541	Brunsbüttel	165
Paulinenkrankenhaus	Eschenallee 28 30	14050	Berlin	160
St Josefs Hospital	Kurfuerstenstrasse 69	47829	Krefeld	303
Krankenhs Rheingau-Taunus-	Emser-Str 29	65307	Bad Schwalbach	150
Zweckverband Kreis- und	Landrat-Beushausen-Straße 26	31061	Alfeld	290
Privatklinik Dr.Spreng	Mozartstr 21	80336	München	82
Landesfachkrankenhaus	Alexander-Puschkin-Str 17	99734	Nordhausen	346
Krankenhaus Der Evang	Hilgardstrasse 26	67346	Speyer	327
Marien-Hospital Ggmbh	Pastor-Janssen-Str 8-38	46483	Wesel	446
Paulinenkrankenhaus	Eschenallee 28 30	14050	Berlin	160
Niedersächsisches	-	37124	Rosdorf	176
St Elisabethen-Anstalt	Hauptstrasse 18	63920	Großheubach	20
Krankenhausgesellschaft Des	Parktorweg 10	78713	Schramberg	208
Rhein Landesklinik	Koelner Str 82	40764	Langenfeld	522
Kreiskrankenhaus Rain	Jennisgasse 5	86609	Donauwörth	75
Reha-Zentrum Fuer	Bergheimer Str 56 A	69115	Heidelberg	36
Kreiskrankenhaus Neuenbuerg	Marxeller Str 46	75305	Neuenbürg	140
Frauenklinik Dr. Brachmann	Alter Weg 50	38302	Wolfenbüttel	40
Ev Krankenhaus Kredenbach	Dr Stelbrinkstrasse 47	57223	Kreuztal	128
Frauenklinik Martha-Haus	Felix-Dahn-Str 7 A	97072	Würzburg	30
St.-Joseph-Krankenhaus	Bäumerplan 24	12101	Berlin	497
St Elisabeth Krankenhaus	Koblenzer Str 91	54516	Wittlich	420
Paracelsus-Klinik am	Oertzeweg 24	30851	Langenhagen	180
St Barbara-Hospital	Barbarastrasse 67	47167	Duisburg	325
Kreiskrankenhaus	Eislebener Strasse 7 A	6449	Aschersleben	445
Anstalt für Chronischkranke	Königstr 25-27	14109	Berlin	78
Staedtisches Krankenhaus	Ansbacher Str 131	91541	Rothenburg	168
Klinik Amsee Gmbh	Malchiner Landstrasse	17192	Waren	156
Kreiskrankenhaus	Marktstr 50	94110	Wegscheid	90
Kreiskrankenhaus	Danziger-Strasse 25	76887	Bad Bergzabern	175
Städtisches Krankenhaus	Delitzscher Straße 141	4129	Leipzig	895
Lukas-Krankenhaus	Bentheimer Str 10	48599	Gronau	135
Kreiskrankenhaus Rudolstadt	Jenaische Strasse 14	7407	Rudolstadt	425
St Elisabethen-Krankenhaus	Ginnheimer Str 3	60487	Frankfurt	270
Kreiskrankenhaus	Dr.-Goldenbogen-Strasse	51545	Waldbröl	461
Klinikum Bamberg	Buger Strasse 80	96049	Bamberg	793
Marienkrankenhaus	Hospitalstrasse 15	65439	Flörsheim	155
Kreiskrankenhaus	Hermann-Löns-Straße	29451	Dannenberg	212
Kreiskrankenhaus Wertingen	Ebersberg 36	86637	Wertingen	190
Zweckverband Krankenhaus	Krankenhausstr 12	94501	Aidenbach	48
St Johannes-Hospital	Billerbeckerstr 28	48341	Altenberge	60
Kreiskrankenhaus	Krankenhausstr 70	85276	Pfaffenhofen	250
Alice-Hospital	Dieburger Str 31	64287	Darmstadt	241
Ev Bethesda-Krankenhaus	Bocholder Strasse 11-13	45355	Essen	399
Landratsamt Nuernberg Land	Krankenhausweg 17	91220	Schnaittach	50
Kreiskrankenhaus	Krankenhausstr 1	84489	Burghausen	249
Hospital Zum Heiligen Geist	Heilig-Geist-Str 2	58135	Hagen	230
Psychiatrisches Krankenhaus	Austrasse 40	35745	Herborn	339
St.-Joseph-Krankenhaus	Bäumerplan 24	12101	Berlin	497
Krankenhaus Maria-Hilf	Oberdiessemer Str. 94	47805	Krefeld	291
St.-Marien-Hospital gem.GmbH	Hospitalstraße 44	52353	Düren	378
St.-Rochus-Krankenhaus	Kratzengasse 4	64807	Dieburg	182
Kreiskrankenhaus Elmshorn	Agnes-Karll-Allee	25337	Elmshorn	316
Kreiskrankenhaus	Lupburger-Str 11	92331	Parsberg	85
Frauenklinik	Am Zuckerberg 89	71640	Ludwigsburg	14
Klinik Fraenkische Schweiz	Feuersteinstrasse 2	91320	Ebermannstadt	104
St Elisabeth-Krankenhaus	Alois-Schneider-Str 37	54568	Gerolstein	152
St Sixtus-Hospital	Gartenstr.25	45721	Haltern	220
Staedt Krankenhaus	Kanzlerstr.2-6	75175	Pforzheim	637
Kreiskrankenhaus Ochsenhau-	Krankenhausweg 28	88416	Ochsenhausen	80
Paracelsus-Klinik	Bismarckhoehe	56130	Bad Ems	158
Fachkrankenhaus für	Bodelschwinghstrasse 4	16321	Lobetal	60
Kliniken Der Stadt	-	66111	Saarbrücken	853
Reha-Zentrum Soltau	Oeninger Weg 59	29614	Soltau	100
Johanniter-Krankenhaus	Karower Strasse 1-3	39307	Genthin	165
Karl-Hansen-Klinik	Kurparkstr 6	33175	Bad Lippspringe	292
Dominikus-Krankenhaus	Am Heerdter Krankenhaus 2	40549	Düsseldorf	400
Urolog Klinik	Frischstr 34	86161	Augsburg	58
St.-Agnes-Hospital	Burloer Weg 125	46397	Bocholt	506
Rotes Kreuz Krankenhaus	Hansteinstr.29	34121	Kassel	371
Kreiskrankenhaus Albstadt 1	Friedrichstr 39	72458	Albstadt	308
Fachklinik für Psychiatrie	Kirchenstraße 2	25821	Breklum	45
Frauenklinik	Heilwigstraße 103	20249	Hamburg	24
St Elisabeth-Krankenhaus	Bleichstrasse 15	44787	Bochum	347
St Carolus-Krankenhaus	Carolusstrasse 212	2827	Görlitz	239
Reha- Kliniken	Johannesstrasse 2	94072	Bad Füssing	30
Bergarbeiterkrankenhaus	Goethestrasse 3	8289	Schneeberg	155
Kreiskrankenhaus	Hofheimer Str 69	97437	Haßfurt	149
Gemeindekrankenhaus	Krankenhausstr 1	83413	Fridolfing	46
Kreiskrankenhaus	Hohenzollernstraße 40	72488	Sigmaringen	403
St Elisabethen-Krankenhaus	Ginnheimer Str 3	60487	Frankfurt	270
Bergarbeiterkrankenhaus	Goethestrasse 3	8289	Schneeberg	155
Klinik Am Hohen Berg	Am Hohen Berg 20	35315	Homberg	50
Brk Rheuma-Zentrum	Am Markt 2	93077	Bad Abbach	257
St.-Anna-Stift	Annenstraße	49624	Löningen	150
Asklepios Fachklinik für	Barbarastrasse 11	99750	Bleicherode	160
Landeswohlfahrtsverband	Cappeler-Str 98	35039	Marburg	88
Theresienklinik	Domerschulstr.1/3	97070	Würzburg	85
Klinikum Hof	Eppenreuther Strasse 9	95032	Hof	496
Evangelisches Krankenhaus	Ferrenbergstraße 24	51465	Bergisch Gladbach	300
St.-Georg-Krankenhaus	Gartenstraße 11	78073	Bad Dürrheim	0
Pius-Hospital Oldenburg	Georgstraße 12	26121	Oldenburg	412
Klinik Zissendorf Gmbh	Gut Zissendorf	53773	Hennef	39
Stadtkrankenhaus Calbe	Hospitalstrasse 5	39240	Calbe	129
Krankenhaus Neu-Mariahilf	Humboldtallee 10-12	37073	Göttingen	150
Kreiskrankenhaus	Kiefholzstrasse 27	39340	Haldensleben	318
Marienkrankenhaus	Klosterberg 1	56812	Cochem	150
Kreiskrankenhaus	Koethener Strasse 13	39218	Schönebeck	429
Psorisol Therapiezentrum	Muehlstrasse 31	91217	Hersbruck	50
Sana Klinik	Bertelestrasse 75	81479	München	125
Hals-Nasen-U Ohrenklinik	Johanniterstr 15	79104	Freiburg	9
Herz-Jesu-Krankenhaus Gmbh	Hauptstrasse 55	51789	Lindlar	173
Kreiskrankenhaus Chemnitz	Chemnitzer Strasse 24 A	9212	Limbach-Oberfrohna	159
Kreiskrankenhaus	Kratzberg 1	36199	Rotenburg an der Fulda	207
Krankenhaus Rohrbach	Amalienstr 5	69126	Heidelberg	206
Kreiskrankenhaus	Arnulfstr 1	93426	Roding	273
Kreiskrankenhaus Rosslau	Lukoer Strasse 2	6862	Roßlau	170
Brk Rheuma-Zentrum	Am Markt 2	93077	Bad Abbach	257
Lungen-Krankenhaus	Aufderhoeherstr 179-175	42699	Solingen	120
Kreiskrankenhaus	Holzbacher-Str 1	55469	Simmern	303
